店名,業種,エリア,メールアドレス,電話番号,Google評価,レビュー数,HP有無,Instagram,備考,ステータス,送信日,返信日
カフェ ファソン 中目黒本店,カフェ,中目黒,,03-3716-8338,,口コミ1331件,あり,https://www.instagram.com/cafefacon_nakameguro/,HP確認済み: あり(cafefacon.com)。営業対象外,HP有り除外,,
カフェ モクシャチャイ,カフェ,中目黒,info@mokshajapan.co.jp,03-6761-2482,,口コミ285件,あり,https://www.instagram.com/moksha_chai/,HP確認済み: あり(mokshajapan.jp)。営業対象外,HP有り除外,,
アート喫茶 フライ,喫茶店,中目黒,,03-6303-3065,,口コミ149件,なし,https://www.instagram.com/art.kissa_fly_/,食べログ3.46。HP無し確定（Web検索確認済み）,未送信,,
シスター美容室,美容室,五反田,,,,,なし,,エキテン掲載・HP未登録,未送信,,
ヴィヴィ,美容室,五反田,,,,,なし,,エキテン掲載・HP未登録,未送信,,
美容室・MIWA,美容室,五反田,,,,,なし,,エキテン掲載・HP未登録,未送信,,
レカー,パン・ベーカリー,代官山,,,3.86,500,なし,https://www.instagram.com/laekker_daikanyama,食べログHP欄空白。電話番号未記載。Instagram DM予約のみ,未送信,,
WAJO×朗,レストラン（イタリアン）,代官山,,03-6416-5237,3.88,197,なし,https://www.instagram.com/wajo__daikanyama,食べログHP欄空白。Instagram運営中。OMAKASE予約,未送信,,
バー六本木,バー,六本木,,03-3403-3085,3.04,食べログ評価,なし,なし,HP・Instagram共になし。電話のみ掲載。六本木7丁目,未送信,,
BARATIE,バー/居酒屋,六本木,,03-6447-1233,3.31,99,なし,https://www.instagram.com/baratie388/,HPなし・Instagram運用中。六本木3丁目WOOビル,未送信,,
江戸前鮓 すし通,寿司,六本木,,03-3404-2622,3.73,食べログ評価,なし,https://www.instagram.com/edomaesushi_sushitsu,食べログ3.73高評価。HP欄なし・Instagram運用中。西麻布エリア,未送信,,
おでん屋 ずぶ六,居酒屋,六本木,,03-6812-9240,3.43,食べログ評価,なし,https://www.instagram.com/zuburoku_official/,HPなし・Instagram運用中。六本木4丁目,未送信,,
弥勒食堂,居酒屋,六本木,,03-6721-1546,3.55,205,なし,https://www.instagram.com/369_syokudo,食べログ3.55。HPなし・Instagram運用中。六本木4丁目,未送信,,
朝日食堂,居酒屋,六本木,,03-3402-6797,3.46,食べログ評価,なし,なし,HP・Instagram共になし。食べログ＋電話のみ。六本木7丁目,未送信,,
酒呑,居酒屋,六本木,,03-3475-6055,3.45,322,なし,https://www.instagram.com/sasano3475,HPなし・Instagram運用中。赤坂エリア,未送信,,
銘柄焼鳥 もつ鍋 個室居酒屋 千鳥 六本木店,居酒屋,六本木,,080-3758-6969,3.30,食べログ評価,なし,なし,HP・Instagram共になし。食べログ＋電話のみ。六本木7丁目,未送信,,
アンセーニュダングル 原宿店,カフェ,原宿,,03-3405-4482,3.72,707,なし,,食べログHP欄空白。SNS未確認,未送信,,
レインボーパンケーキ,カフェ,原宿,,03-6434-0466,3.60,663,なし,https://www.instagram.com/rainbowpancake/,食べログHP欄空白。Instagram運営中,未送信,,
DLAW tokyo,ネイルサロン,原宿,,,,,なし,https://www.instagram.com/dlaw_nail/,エキテン掲載・HP未登録,未送信,,
Richer,ネイルサロン,原宿,,,,,なし,https://www.instagram.com/richer_nail.eyebeauty/,エキテン掲載・HP未登録,未送信,,
Shanty Carina,ネイルサロン,原宿,,,,,なし,https://www.instagram.com/nail.carina/,エキテン掲載・HP未登録,未送信,,
kynnail,ネイルサロン,原宿,,,,,なし,,エキテン掲載・HP未登録,未送信,,
nr.,ネイルサロン,原宿,,,,,なし,,エキテン掲載・HP未登録,未送信,,
オングル,ネイルサロン,原宿,,,,,なし,,エキテン掲載・HP未登録,未送信,,
ネイルサロンLaViVi,ネイルサロン,原宿,,,,,なし,,エキテン掲載・HP未登録,未送信,,
ネイルサロンMariju,ネイルサロン,原宿,,,,,なし,,エキテン掲載・HP未登録,未送信,,
ネイルサロンrumy,ネイルサロン,原宿,,,,,なし,,エキテン掲載・HP未登録,未送信,,
COYORI,バー,広尾,,,,口コミ14件,なし,https://www.instagram.com/coyori_hiroo/,食べログ3.15。HP無し確定（Web検索確認済み）,未送信,,
DBL,バー,広尾,,03-6277-0838,,口コミ21件,なし,https://www.instagram.com/dblhiroo/,食べログ3.20。HP無し確定（Web検索確認済み）,未送信,,
LAIDBACKS,バー,広尾,,,,口コミ19件,なし,https://www.instagram.com/laidbackscoffee/,食べログ3.17。HP無し確定（Web検索確認済み）,未送信,,
S TOKYO,ワインバー,広尾,,03-6427-7097,,口コミ57件,なし,https://www.instagram.com/stokyo_nishiazabu/,食べログ3.53。HP無し確定（Web検索確認済み）,未送信,,
ツバキ,ワインバー,広尾,,03-5485-1410,,口コミ168件,なし,,食べログ3.54。HP無し確定（Web検索確認済み）,未送信,,
呑み屋 ぺりどっと,ワインバー,広尾,,,,口コミ17件,なし,https://www.instagram.com/nomiya_peridot/,食べログ3.17。HP無し確定（Web検索確認済み）,未送信,,
きたぽん酒,日本酒バー,広尾,,03-6882-4800,,口コミ48件,なし,https://www.instagram.com/kitapon0401/,食べログ3.25。HP無し確定（Web検索確認済み）,未送信,,
甘美堂,日本酒バー,広尾,,03-6427-4389,,口コミ105件,あり,,HP確認済み: あり(kanmido.com)。営業対象外,HP有り除外,,
居酒屋 黒電話,居酒屋,恵比寿,,03-6721-6682,3.37,234,なし,なし,HP欄なし。食べログのみ掲載。隠れ家系居酒屋,未送信,,
恵比寿 あさひ堂,居酒屋,恵比寿,,03-5794-8294,3.31,412,なし,なし,ランキング1位店舗。Instagram・HP共になし,未送信,,
恵比寿 つむぎや,居酒屋,恵比寿,,050-5595-9071,3.37,147,なし,https://www.instagram.com/tumugiya_ebisu/,HPなし。InstagramのみHP欄に登録,未送信,,
粋 恵比寿店,居酒屋,恵比寿,,050-5600-3814,3.41,377,なし,なし,HP・Instagram共になし。恵比寿西口徒歩圏,未送信,,
酒場 ひまり堂 恵比寿店,居酒屋,恵比寿,,03-5422-3907,3.45,626,なし,https://www.instagram.com/himarido_ebisu/,HPなし。Instagramのみ,未送信,,
284（ニハチヨン）,居酒屋・バー,恵比寿,,03-6427-8124,3.50,221,なし,https://www.instagram.com/ebisu.284,HPなし。InstagramのみHP欄に登録,未送信,,
amme,居酒屋・バー,恵比寿,,03-6452-5474,3.44,350,なし,https://www.instagram.com/amme132_,HPなし。Instagramのみ,未送信,,
おだし 恵比寿店,居酒屋・和食,恵比寿,,03-5784-3340,3.34,378,なし,なし,HP・Instagram共になし。恵比寿駅西口徒歩1分,未送信,,
炭焼と炉端テント 恵比寿,居酒屋・炉端焼き,恵比寿,,03-3527-3023,3.26,104,なし,https://www.instagram.com/tento.ebisu,HP欄なし。Instagramあり,未送信,,
善菜（ZENNA）,居酒屋・鶏料理,恵比寿,,03-3441-7331,3.08,22,なし,https://www.instagram.com/zenna_ebisu,HPなし。Instagramのみ(FAX番号),未送信,,
手羽先むつみ 恵比寿店,居酒屋・鶏料理,恵比寿,,03-6427-0922,3.48,216,なし,https://www.instagram.com/tebasakimutsumi.ebisu,HPなし。Instagramのみ,未送信,,
えっちゃんラーメン。,ラーメン,新宿,,03-6273-8706,3.65,食べログ評価,なし,なし,HP・Instagram共になし。電話のみ。歌舞伎町,未送信,,
らぁめん 満来,ラーメン,新宿,,03-3340-2727,3.74,食べログ評価,なし,なし,HP・Instagram共になし（Xのみ）。食べログ高評価3.74。西新宿,未送信,,
シンちゃんラーメン,ラーメン,新宿,,03-6274-8535,3.66,食べログ評価,なし,なし,HP・Instagram共になし。電話のみ。新宿4丁目,未送信,,
中華そば 流川,ラーメン,新宿,,03-5389-4033,3.70,食べログ評価,なし,https://www.instagram.com/noodle_rukawa/,HPなし・Instagram運用中。西新宿7丁目,未送信,,
煮干中華そば 鈴蘭,ラーメン,新宿,,03-3358-2958,3.71,食べログ評価,なし,https://www.instagram.com/suzuranshinjuku/,HPなし（Xのみ）・Instagram運用中。新宿3丁目,未送信,,
百日紅,ラーメン,新宿,,03-6457-8564,3.69,食べログ評価,なし,https://www.instagram.com/menya_sarusuberi,HPなし・Instagram運用中。新宿3丁目京王フレンテB2F,未送信,,
酒場つむぎ堂 新宿店,居酒屋,新宿,,03-5937-3937,3.48,食べログ評価,なし,https://www.instagram.com/sakaba_tsumugido/,HPなし・Instagram運用中。西新宿,未送信,,
魚吉酒場 新宿店,居酒屋,新宿,,03-6635-3118,3.53,食べログ評価,なし,なし,HP・Instagram共になし。電話のみ掲載。歌舞伎町,未送信,,
鮮魚と炉端と純米酒 かきび,居酒屋,新宿,,03-5315-0341,3.43,食べログ評価,なし,https://www.instagram.com/kakibi3chome/,HPなし・Instagram運用中。新宿3丁目,未送信,,
らぁ麺や 嶋,ラーメン,新宿周辺,,電話番号未掲載,4.05,食べログ評価,なし,https://www.instagram.com/ramenya_shima,食べログ4.05の超高評価。HPなし・Instagram運用中。本町エリア,未送信,,
PilatesGreen池袋店,ピラティス,池袋,,,,,なし,,エキテン掲載・HP未登録,未送信,,
ふんわりコスモマッサージ,マッサージ,池袋,,,,,なし,,エキテン掲載・HP未登録,未送信,,
ほぐしの達人 池袋東口店,マッサージ,池袋,,,,,なし,,エキテン掲載・HP未登録。口コミ63件,未送信,,
カッピング&カッサ専門店 凜,マッサージ,池袋,,,,,なし,,エキテン掲載・HP未登録。専門店,未送信,,
阿里山リラクゼーション,マッサージ,池袋,,,,,なし,,エキテン掲載・HP未登録,未送信,,
快眠ドライヘッドスパRelala,リラクゼーション,池袋,,,,,なし,,エキテン掲載・HP未登録。口コミ309件,未送信,,
KBS整体 東池袋店,整体院,池袋,,,,,なし,,エキテン掲載・HP未登録,未送信,,
SFIDA Fitness&Relax,整体院,池袋,,,,,なし,,エキテン掲載・HP未登録,未送信,,
こころ整体院 池袋院,整体院,池袋,,,,,なし,,エキテン掲載・HP未登録。口コミ94件,未送信,,
ほぐしストレッチ整体 ビーラボ,整体院,池袋,,,,,なし,,エキテン掲載・HP未登録。マタニティ対応,未送信,,
カラダファクトリー ルミネ池袋店,整体院,池袋,,,,,なし,,エキテン掲載・HP未登録。チェーン店,未送信,,
整体処みなもと,整体院,池袋,,,,,なし,,エキテン掲載・HP未登録。口コミ5件,未送信,,
水野整体院,整体院,池袋,,,,,なし,,エキテン掲載・HP未登録,未送信,,
池袋美健センター,整体院,池袋,,,,,なし,,エキテン掲載・HP未登録,未送信,,
米川整体院,整体院,池袋,,,,,なし,,エキテン掲載・HP未登録。口コミ32件,未送信,,
美容整体VIENESS,整体院,池袋,,,,,なし,,エキテン掲載・HP未登録,未送信,,
自律神経気功整体院,整体院,池袋,,,,,なし,,エキテン掲載・HP未登録,未送信,,
ジャストミート,居酒屋,浅草,,03-5830-6699,,口コミ90件,あり,https://www.instagram.com/justmeat_asakusa/,HP確認済み: あり(justmeat-asakusa.com)。営業対象外,HP有り除外,,
串焼バル1.2.3,居酒屋,浅草,,03-5830-6368,,口コミ154件,なし,https://www.instagram.com/kushiyakibaru1.2.3/,食べログ3.40。HP無し確定（Web検索確認済み）,未送信,,
呑みやしき209,居酒屋,浅草,,03-6802-8580,,口コミ79件,なし,https://www.instagram.com/nomiyashiki209/,食べログ3.30。HP無し確定（Web検索確認済み）,未送信,,
浅草 ASA虎,居酒屋,浅草,,03-5830-3926,,口コミ740件,なし,https://www.instagram.com/asatora_asakusa/,食べログ3.63。HP無し確定（Web検索確認済み）,未送信,,
浅草 もつ焼のんき,居酒屋,浅草,,03-5246-3330,,口コミ364件,なし,https://www.instagram.com/nonkiofficial/,食べログ3.46。HP無し確定（Web検索確認済み）,未送信,,
浅草 更科天狐,居酒屋,浅草,,050-5448-6718,,口コミ171件,あり,https://www.instagram.com/sarashina_tenko/,HP確認済み: あり(sarashina-tenko.com)。営業対象外,HP有り除外,,
浅草酒場 岡本,居酒屋,浅草,,,,口コミ237件,なし,https://www.instagram.com/asakusa_okamoto2/,食べログ3.34。ホッピー通り,未送信,,
花本,居酒屋,浅草,,03-5811-1726,,口コミ104件,なし,https://www.instagram.com/asakusa.hanamoto/,食べログ3.31。HP無し確定（Web検索確認済み）,未送信,,
雷門 き介,居酒屋,浅草,,03-5246-8221,,口コミ416件,あり,https://www.instagram.com/kaminarimonkisuke_asakusa/,HP確認済み: あり(punycode)。営業対象外,HP有り除外,,
soba MAREN 渋谷店,ラーメン,渋谷,,03-6809-0169,3.55,398,なし,https://www.instagram.com/soba_maren/,食べログHP欄空白。キャッシュレスのみ,未送信,,
うさぎ,ラーメン,渋谷,,03-3464-4111,3.68,1093,なし,https://www.instagram.com/ramen___usagi,食べログHP欄空白。Instagram運営中,未送信,,
はやし,ラーメン,渋谷,,03-3770-9029,3.78,3363,なし,,老舗ラーメン店。食べログHP欄空白。SNS未確認,未送信,,
まぜそば七,ラーメン,渋谷,,03-3780-1176,3.56,783,なし,https://www.instagram.com/mazesoba7,食べログHP欄空白。Instagram運営中,未送信,,
らーめん 穀雨,ラーメン,渋谷,,,3.70,970,なし,,食べログHP欄空白。電話番号未記載。X(Twitter)のみ,未送信,,
中華麺店 喜楽,ラーメン,渋谷,,03-3461-2032,3.76,4692,なし,,現金払いのみ。食べログHP欄空白。SNS未確認,未送信,,
唐そば,ラーメン,渋谷,,03-3486-0147,3.60,914,なし,,食べログHP欄空白。X(Twitter)のみ運営,未送信,,
背脂ラーメン チャッチャ亭,ラーメン,渋谷,,03-6277-5385,3.57,539,なし,https://www.instagram.com/chaccha_tei/,食べログHP欄空白。SNS未確認,未送信,,
麺屋ぬかじ,ラーメン,渋谷,,090-3801-8247,3.60,665,なし,https://www.instagram.com/menya_nukaji,食べログHP欄空白。Instagram・Facebook・X運営中,未送信,,
せかんど,居酒屋,渋谷,,03-6277-5450,3.50,141,なし,https://www.instagram.com/second_sai_1115/,食べログHP欄空白。SNS未確認,未送信,,
ぴりおど。,居酒屋,渋谷,,03-6416-9316,3.35,187,なし,https://www.instagram.com/period_shibuya/,食べログHP欄空白。SNS未確認,未送信,,
活惚れ,居酒屋,渋谷,,03-6455-3170,3.60,705,なし,https://www.instagram.com/kappore1919,食べログHP欄空白。Instagram運営中,未送信,,
酒場 つむぎ堂 渋谷店,居酒屋,渋谷,,03-5738-8955,3.59,326,なし,https://www.instagram.com/sakaba_tsumugido/,食べログHP欄空白。Instagram運営中,未送信,,
雲隠レ,居酒屋,渋谷,,03-6427-0808,3.52,313,なし,https://www.instagram.com/kumogakure.shibuya/,食べログHP欄空白。Instagram運営中,未送信,,
BLANCO ELEGANTE,美容室,渋谷,,,,,なし,,エキテン掲載・HP未登録,未送信,,
COLULU,美容室,渋谷,,,,,なし,https://www.instagram.com/colulu.shibuya/,エキテン掲載・HP未登録,未送信,,
Pure Soul,美容室,渋谷,,,,,なし,https://www.instagram.com/h_puresoul/,エキテン掲載・HP未登録,未送信,,
Salon Regenesis,美容室,渋谷,,,,口コミ729件,なし,,エキテン掲載・HP未登録。口コミ高評価,未送信,,
peeps&suu.,美容室,渋谷,,,,,なし,https://www.instagram.com/peeps.suu.official/,エキテン掲載・HP未登録,未送信,,
seasons by marbles,美容室,渋谷,,,,,なし,https://www.instagram.com/seasons.omotesando/,エキテン掲載・HP未登録,未送信,,
アトリエ・ミズ,美容室,渋谷,,,,,なし,,エキテン掲載・HP未登録,未送信,,
ココサロン,美容室,渋谷,,,,,なし,,エキテン掲載・HP未登録,未送信,,
ダウンタイムオンニ,美容室,渋谷,,,,,なし,,エキテン掲載・HP未登録,未送信,,
パステルアトリエドウー,美容室,渋谷,,,,,なし,,エキテン掲載・HP未登録,未送信,,
ヘアメイクの家庭教師,美容室,渋谷,,,,,なし,,エキテン掲載・HP未登録。出張型,未送信,,
マックスブロンド,美容室,渋谷,,,,,なし,https://www.instagram.com/maxblonde/,エキテン掲載・HP未登録,未送信,,
渋谷オアフカラー専門美容室,美容室,渋谷,,,,,なし,,エキテン掲載・HP未登録。カラー専門,未送信,,
薬草ヘナコレ,美容室,渋谷,,,,,なし,,エキテン掲載・HP未登録。薬草ヘナ専門,未送信,,
HairRoom MOON ZETTON,美容室,立川,,,,,なし,,エキテン掲載・HP未登録,未送信,,
franc hair art,美容室,立川,,,,,なし,,エキテン掲載・HP未登録,未送信,,
美容室かぐや姫,美容室,立川,,,,,なし,https://www.instagram.com/kaguyahime_fukstyle/,エキテン掲載・HP未登録,未送信,,
i2 cafe,カフェ,表参道,,,3.57,506,なし,https://www.instagram.com/i2.cafe/,食べログHP欄空白。電話番号未記載。Instagram運営中,未送信,,
フェアリーズ 表参道店,ネイルサロン,表参道,,,,,なし,,エキテン掲載・HP未登録,未送信,,
BAR東京,バー,銀座,,03-3571-5981,3.32,60,なし,なし,Instagram・HPともになし。食べログのみ掲載,未送信,,
MORI BAR,バー,銀座,,03-3573-0610,3.69,180,なし,https://www.instagram.com/moribar_ginza/,HPなし(食べログにInstagramのみ登録),未送信,,
ビストロ Root,フレンチ,銀座,,03-6263-9653,3.53,273,なし,https://www.instagram.com/bistro_root,HPなし。InstagramをHP欄に登録,未送信,,
鮨 さえ喜,寿司,銀座,,03-3289-0818,4.04,269,なし,なし,食べログ Award 2026 Bronze・百名店2025選出。HP・Instagram共になし。SNSなし店舗,未送信,,
東京焼肉いのうえ 銀座店,焼肉,銀座,,03-6228-6421,3.56,1095,なし,https://www.instagram.com/inoue_ginza/,HPなし。Instagramのみ運用,未送信,,
焼肉 冷麺 ユッチャン。 銀座店,焼肉・韓国料理,銀座,,03-6228-5805,3.55,688,なし,なし,HP・Instagram共になし。食べログのみ掲載,未送信,,
三六 麻布十番店,居酒屋,麻布十番,,03-6459-4536,,口コミ271件,あり,https://www.instagram.com/mirokuazabu/,HP確認済み: あり(miroku-motsu.jp)。営業対象外,HP有り除外,,
博多ほたる 麻布十番店,居酒屋,麻布十番,hotaru-azabu@obu-company.com,03-3451-5533,,口コミ438件,あり,https://www.instagram.com/hakatahotaru.azabu/,HP確認済み: あり(behappy-obu.co.jp)。営業対象外,HP有り除外,,
地鶏割烹 稲垣 麻布十番,居酒屋,麻布十番,,03-6441-2262,,口コミ197件,なし,https://www.instagram.com/jidorikappo_inagaki/,食べログ3.43。HP無し確定（Web検索確認済み）,未送信,,
惣菜 ふじやま,居酒屋,麻布十番,,03-5962-5362,,口コミ76件,あり,https://www.instagram.com/azabu_fujiyama/,HP確認済み: あり(azabu-fujiyama.jp)。営業対象外,HP有り除外,,
薬膳火鍋OSHIDORI,居酒屋,麻布十番,,050-5303-0959,,口コミ182件,あり,https://www.instagram.com/od_jyuban/,HP確認済み: あり(oshidori.info)。営業対象外,HP有り除外,,
麻布 やきとん ふじ嶋,居酒屋,麻布十番,,03-6453-9003,,口コミ162件,あり,https://www.instagram.com/yakitonfujishima/,HP確認済み: あり(infinity8.tokyo)。営業対象外,HP有り除外,,
麻布十番 魚と牛じゃ,居酒屋,麻布十番,,03-3455-5530,,口コミ401件,なし,,食べログ3.52。HP無し確定（Web検索確認済み）,未送信,,
麻布十番居酒屋 あさごや,居酒屋,麻布十番,,03-6809-5830,,口コミ208件,あり,https://www.instagram.com/asagoya10/,HP確認済み: あり(asagoya.jp)。営業対象外,HP有り除外,,
花寅,花屋,広尾,,03-3473-1063,4.6,9,なし,,Google Maps経由で自動取得 (2026-04-08),未送信,,
atelier 10kaen hiroo,花屋,広尾,,03-6455-6913,5,2,なし,,Google Maps経由で自動取得 (2026-04-08),未送信,,
Zanka_haru,カフェ,高田馬場,,,4.5,296,なし,,Google Maps経由で自動取得 (2026-04-08),未送信,,
未来空間 E-Sports Cafe 高田馬場店,カフェ,高田馬場,,03-6279-1681,4.9,374,なし,,Google Maps経由で自動取得 (2026-04-08),未送信,,
Bar FULLHOUSE,バー,池袋,,03-5396-6222,4.7,60,なし,,Google Maps経由で自動取得 (2026-04-08),未送信,,
ユーロベイカーズ EURO BAKERS,ベーカリー,目白,,03-6908-5777,4.3,85,なし,https://www.instagram.com/euro_bakers/,Google Maps経由で自動取得 (2026-04-08),未送信,,
カサロサ,エステサロン,浅草,,03-3842-1103,5,3,なし,,Google Maps経由で自動取得 (2026-04-08),未送信,,
浅草按摩&リラクゼーション樂,エステサロン,浅草,,070-9295-0285,5,14,なし,,Google Maps経由で自動取得 (2026-04-08),未送信,,
HABIT PERSONAL GYM神田店,パーソナルジム,神田,,03-3526-2257,5,32,なし,https://www.instagram.com/habit_personal_gym/,Google Maps経由で自動取得 (2026-04-08),未送信,,
LOKI&ARES GYM,パーソナルジム,神田,,090-4019-8644,5,1,なし,,Google Maps経由で自動取得 (2026-04-08),未送信,,
Barbie GYM,パーソナルジム,神田,,03-6260-5464,5,2,なし,,Google Maps経由で自動取得 (2026-04-08),未送信,,
東日本橋スタジオ,ヨガスタジオ,日本橋,,080-3553-6946,,,なし,,Google Maps経由で自動取得 (2026-04-08),未送信,,
おおむら動物病院,動物病院,吉祥寺,,0422-29-7887,3.1,28,なし,,Google Maps経由で自動取得 (2026-04-08),未送信,,
本宿犬猫病院,動物病院,吉祥寺,,0422-22-7728,4.4,7,なし,,Google Maps経由で自動取得 (2026-04-08),未送信,,
ENGAWA行政書士事務所,行政書士事務所,品川,,070-8558-5928,,,なし,,Google Maps経由で自動取得 (2026-04-08),未送信,,
公認会計士安達哲夫事務所,税理士事務所,原宿,,03-5474-7050,,,なし,,Google Maps経由で自動取得 (2026-04-08),未送信,,
新井久雄税理士事務所,税理士事務所,原宿,,03-3405-7345,,,なし,,Google Maps経由で自動取得 (2026-04-08),未送信,,
Dance Space WING,ダンススタジオ,恵比寿,,03-3716-1108,5,2,なし,,Google Maps経由で自動取得 (2026-04-08),未送信,,
STUDIO ALPHA,ダンススタジオ,恵比寿,,,,,なし,,Google Maps経由で自動取得 (2026-04-08),未送信,,
スタジオ・ダンシン,ダンススタジオ,恵比寿,,03-3449-0388,5,1,なし,,Google Maps経由で自動取得 (2026-04-08),未送信,,
レイリンガル,英会話教室,五反田,,050-3554-5556,,,なし,,Google Maps経由で自動取得 (2026-04-08),未送信,,
Bar Ritorno,バー,経堂,,03-6413-6107,4.2,28,なし,https://www.instagram.com/bar_ritorno/,Google Maps経由で自動取得 (2026-04-08),未送信,,
